,layer,#filters,size,stride,padding,input,c (input),output,c (output),time (sec)
0,conv,32,3,1,1,448,3,448,32,0.767809
1,max,,2,2,0,448,32,224,32,0.249073
2,conv,64,3,1,1,224,32,224,64,1.464385
3,max,,2,2,0,224,64,112,64,0.126436
4,conv,128,3,1,1,112,64,112,128,1.077104
5,conv,64,1,1,0,112,128,112,64,0.191137
6,conv,128,3,1,1,112,64,112,128,1.068897
7,max,,2,2,0,112,128,56,128,0.061768
8,conv,256,3,1,1,56,128,56,256,0.88057
9,conv,128,1,1,0,56,256,56,128,0.132695
10,conv,256,3,1,1,56,128,56,256,0.881454
11,max,,2,2,0,56,256,28,256,0.03051
12,conv,512,3,1,1,28,256,28,512,0.81729
13,conv,256,1,1,0,28,512,28,256,0.108569
14,conv,512,3,1,1,28,256,28,512,0.817451
15,conv,256,1,1,0,28,512,28,256,0.108634
16,conv,512,3,1,1,28,256,28,512,0.81798
17,max,,2,2,0,28,512,14,512,0.015523
18,conv,1024,3,1,1,14,512,14,1024,0.925359
19,conv,512,1,1,0,14,1024,14,512,0.112048
20,conv,1024,3,1,1,14,512,14,1024,0.925256
21,conv,512,1,1,0,14,1024,14,512,0.111904
22,conv,1024,3,1,1,14,512,14,1024,0.925313
23,conv,1024,3,1,1,14,1024,14,1024,1.859916
24,conv,1024,3,1,1,14,1024,14,1024,1.845435
25,route,16,,,,,,,,0.003837
26,conv,64,1,1,0,28,512,28,64,0.040141
27,reorg,,,2,0,28,64,14,256,0.000578
28,route,"27, 24",,,,,,,,0.00256
29,conv,1024,3,1,1,14,1280,14,1024,2.294678
30,conv,425,1,1,0,14,1024,14,425,0.093304